date,year,month,factory_id,factory_name,factory_capacity,equipment_age,supplier_id,supplier_name,supplier_type,supplier_base_efficiency,payment_delay_days,payment_timeliness,supplier_efficiency,parts_availability,avg_employee_skill,equipment_status,capacity_utilization,production_efficiency,production_volume,is_anomaly_month
2024-10-01,2024,10,F001,华东工厂,1000,3,S001,核心零部件供应商A,核心,0.85,3.350661737178388,0.8883112754273871,0.7895444581817646,0.8127073018510232,0.6789999999999999,0.9322315731426394,0.9082075941970678,0.860004800863899,781,False
2024-10-01,2024,10,F001,华东工厂,1000,3,S002,电子元件供应商B,核心,0.8,7.096161303630223,0.7634612898789925,0.706779452928418,0.687586517105094,0.6789999999999999,0.8899505613678821,0.788239625863089,0.7185134235304784,566,False
2024-10-01,2024,10,F001,华东工厂,1000,3,S003,结构件供应商C,普通,0.9,2.9129730154147837,0.9029008994861739,0.8806603744818022,0.8546071436042377,0.6789999999999999,0.8962958760428119,0.8959399606210268,0.8379932453645809,750,False
2024-10-01,2024,10,F001,华东工厂,1000,3,S004,配件供应商D,普通,0.88,1.0096016788551414,0.9663466107048286,0.9014593877497802,0.881736423023186,0.6789999999999999,0.9013552432167075,0.7934802617532033,0.8476899020361363,672,False
2024-10-01,2024,10,F001,华东工厂,1000,3,S005,新材料供应商E,普通,0.75,8.671338747504096,0.7109553750831967,0.6693534138772507,0.7037521313741085,0.6789999999999999,0.886290752928098,0.80458346602557,0.7426056740408626,597,False
2024-10-01,2024,10,F002,华南工厂,800,5,S001,核心零部件供应商A,核心,0.85,4.1701819142960215,0.8609939361901326,0.7850371254449352,0.7691960155093466,0.695625,0.8398584876895299,0.9450921852355463,0.76544762376136,578,False
2024-10-01,2024,10,F002,华南工厂,800,5,S002,电子元件供应商B,核心,0.8,0.20966657548836898,0.9930111141503877,0.7706381466308542,0.7729623581929711,0.695625,0.8802719594930556,0.8761386070068613,0.8043004170397079,563,False
2024-10-01,2024,10,F002,华南工厂,800,5,S003,结构件供应商C,普通,0.9,1.648328469059729,0.945055717698009,0.8531099237277844,0.8032726288465917,0.695625,0.83342969127725,0.8207599243897225,0.8035027599801893,527,False
2024-10-01,2024,10,F002,华南工厂,800,5,S004,配件供应商D,普通,0.88,0.9381126178618053,0.9687295794046065,0.8852099419352576,0.8466312987238128,0.695625,0.8517515643790717,0.7192448667662416,0.8364796877279531,481,False
2024-10-01,2024,10,F002,华南工厂,800,5,S005,新材料供应商E,普通,0.75,0.23577802346565324,0.9921407325511449,0.7453850892011934,0.7509558668934252,0.695625,0.8539465452519042,0.8559121945725665,0.7849214820928808,537,False
